name,calories,dietary,type,portion,image,prep_time,ingredients,instructions,protein,carbs,fat
Khandvi,417,Vegetarian,Snacks,1 serving,/static/images/khandwi.jpeg,59 min,"Various vegetables, spices, flour/rice as needed","Whisk 1 cup gram flour with 1 cup yogurt, salt, and 1/2 tsp turmeric.

Cook mixture on medium heat, stirring till thick and smooth.

Spread thin layer on greased surface, cool, and cut into strips.

Roll strips, garnish with mustard seeds, sesame seeds, and grated coconut.

Serve chilled or room temperature.",13,69,9
Aloo Paratha,420,Vegetarian,Breakfast,1 serving,/static/images/aloo paratha.jpg,20 min,"Various vegetables, spices, flour/rice as needed","Boil 3 medium potatoes, peel and mash.

Add 2 chopped green chilies, 1/4 cup chopped coriander, 1 tsp garam masala, and salt to taste. Mix well.

Prepare wheat dough with 2 cups wheat flour, water, and pinch of salt; rest 10 minutes.

Divide dough into balls, stuff with potato mixture, roll into flat circles.

Cook paratha on hot tava with ghee/butter on both sides till golden.

Serve hot with yogurt or pickle.

",14,30,10
Paneer Butter Masala,423,Vegetarian,Lunch,1 serving,/static/images/paneer btter masala.jpg,21 min,"Various vegetables, spices, flour/rice as needed","Heat 2 tbsp butter and 1 tbsp oil in a pan.

Sauté 1 large finely chopped onion until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes.

Add 1 cup tomato puree, 1/2 tsp turmeric powder, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste. Cook until oil separates.

Add 200g paneer cubes and mix gently.

Stir in 1/4 cup fresh cream and simmer for 5 minutes.

Garnish with fenugreek leaves (kasuri methi) and serve hot with naan or rice.",15,31,11
Veg Korma,426,Vegetarian,Dinner,1 serving,/static/images/veg korma.jpg,22 min,"Various vegetables, spices, flour/rice as needed","2 cup mixed vegetables (gajar, matar, gobhi, beans) ko wash karein.

2 tbsp oil ya ghee mein 1 tsp jeera, 1 bay leaf, 1 elaichi, 1 inch adrak, 2-3 laal mirch, 1/2 tsp haldi daal kar bhuno.

1 chopped piyaz aur 1/2 cup dahi, 1 tsp garam masala, 1 tsp dhania powder, namak daal kar bhuno.

Sabziyon ki bhuni hui mixture dal kar 10-15 mins dhimi aanch pe pakne dein.

Garnish with fresh coriander.

Serve hot with chapati or rice.",16,32,12
Bhindi Masala,429,Vegetarian,Snacks,1 serving,/static/images/bhindi masala.jpeg,23 min,"Various vegetables, spices, flour/rice as needed","Wash and chop 250g okra (bhindi) into 1-inch pieces. Sprinkle 1 tsp salt; set aside 10 mins.

Heat 2 tbsp oil in pan, add 1 tsp mustard seeds, 1/4 tsp asafoetida.

Add 1 chopped onion, sauté until golden.

Add 1/2 tsp turmeric, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste.

Add bhindi, mix well, cover and cook on low heat 15-20 mins till tender and slightly crisp.

Garnish with chopped coriander.",17,33,13
Mix Veg Curry,432,Vegetarian,Lunch,1 serving,/static/images/mix veg curry.jpeg,24 min,"Various vegetables, spices, flour/rice as needed","Heat oil; sauté 1 chopped onion till translucent.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt.

Add mixed vegetables (carrots, beans, peas, cauliflower) and cook 15-20 mins till tender.

Garnish with fresh coriander leaves.",6,34,14
Methi Thepla,435,Vegetarian,Breakfast,1 serving,/static/images/methi thepla.jpeg,25 min,"Various vegetables, spices, flour/rice as needed","Mix 2 cups wheat flour with 1 cup chopped fresh fenugreek leaves, 1 tsp turmeric, 1 tsp chili powder, and salt to taste.

Add yogurt and water to form a soft dough; rest 15 mins.

Roll into thin rotis and cook on hot pan with a little oil until golden.

Serve hot with yogurt or pickle.",7,35,15
Poha,438,Vegetarian,Breakfast,1 serving,/static/images/poha.jpeg,26 min,"Various vegetables, spices, flour/rice as needed","Rinse 2 cups flattened rice (poha) in cold water and drain well.

Heat 2 tbsp oil in a pan; add 1 tsp mustard seeds, 1/2 tsp cumin seeds, a few curry leaves, and 2 chopped green chilies. Sauté for a minute.

Add 1 chopped onion and sauté till translucent.

Add 1/4 teaspoon turmeric powder, salt, and 1 teaspoon sugar; mix well.

Add soaked poha and gently stir to coat with turmeric and spices.

Cook on low heat for 4-5 minutes, stirring occasionally.

Garnish with chopped coriander and squeeze lemon juice over before serving.",8,36,16
Upma,441,Vegetarian,Snacks,1 serving,/static/images/upma.jpeg,27 min,"Various vegetables, spices, flour/rice as needed","Dry roast 1 cup semolina (rava) in a pan till light golden; set aside.

Heat 2 tbsp oil in the same pan; add 1 tsp mustard seeds, 1 tsp urad dal, 1 tsp chana dal, curry leaves, and 1-2 green chilies chopped. Sauté till aromatic.

Add 1 chopped onion and sauté till translucent.

Pour 3 cups boiling water into the pan; add salt to taste.

Slowly add roasted semolina while stirring continuously to avoid lumps.

Cook on medium heat till water is absorbed and upma thickens, stirring occasionally.

Garnish with chopped coriander leaves and serve hot.",9,37,17
Dhokla,444,Vegetarian,Breakfast,1 serving,/static/images/dhokla.jpeg,28 min,"Various vegetables, spices, flour/rice as needed","Mix 1 cup gram flour, 1 cup water, 1 tsp sugar, and salt to taste; let batter rest.

Add 1 tsp lemon juice and 1 tsp Eno fruit salt just before steaming; mix gently.

Steam in greased container for 15-20 mins.

Heat 1 tbsp oil; add 1 tsp mustard seeds and curry leaves, pour tempering over dhokla.

Garnish with chopped coriander.",10,38,18
Khandvi,447,Vegetarian,Lunch,1 serving,/static/images/khandwi.jpeg,29 min,"Various vegetables, spices, flour/rice as needed","Whisk 1 cup gram flour with 1 cup yogurt, salt, and 1/2 tsp turmeric.

Cook mixture on medium heat, stirring till thick and smooth.

Spread thin layer on greased surface, cool, and cut into strips.

Roll strips, garnish with mustard seeds, sesame seeds, and grated coconut.

Serve chilled or room temperature.",11,39,19
Chicken Tikka,380,Non-Vegetarian,Dinner,6 pieces,/static/images/Chicken Tikka Kebabs .jpeg,45 min,"Chicken breast (200g), Yogurt, Ginger-garlic paste, Lemon juice, Red chili powder, Garam masala, Salt, Oil","1. Marinate chicken in yogurt, ginger-garlic paste, spices, lemon juice 30 mins. 2. Skewer and grill till cooked. 3. Serve with mint chutney.",28,6,13
Egg Bhurji with Paratha,330,Non-Vegetarian,Breakfast,"2 eggs, 1 paratha",/static/images/Egg-Bhurji .jpg,20 min,"Eggs (2), Onion, Tomato, Green chili, Turmeric, Red chili powder, Wheat flour for paratha","
1.Break eggs into a bowl. Add two large pinch of salt. Using a fork beat well.
2.Heat oil in a skillet. Add finely chopped onion. Saute for 3-4 minutes until it is softened. Keep stirring to prevent it from sticking.3
Add chopped green chilies, chopped ginger, and tomatoes4.
Cook until tomatoes are softened. Smash the mixture with the back of the spoon to bring together the onion and tomato mixture. It will take around 4-5 minutes.
Add turmeric powder, chilli powder, pav bhaji masala, and salt. Mix well and cook for 1-2 minutes on low flame.
Sprinkle a bit of water if the onion mixture sticks to the bottom of the pan.
Add in beaten egg. let it cook unrest for 30 seconds. Then using a spatula mix in the egg with the onion-tomato mixture. Keep breaking any big lumps of egg mixture.
Switch off the flame when the egg is just done. Eggs will continue to cook even after you take off the pan from heat.",16,25,15
Chicken Curry & Rice,455,Non-Vegetarian,Lunch,"1 cup rice, 1 bowl curry",/static/images/CHICKENBOWL.jpeg,40 min,"Chicken (200g), Rice (100g), Onion, Tomato, Coconut milk, Curry spices","Marinate chicken pieces with lemon juice and salt, keep in refrigerator for 10 minutes.

Blend garlic, ginger, cumin, ground coriander, garam masala, chili powder, paprika and yogurt. Coat chicken cubes with this mixture. Add oil, mix well, and marinate for at least 30 minutes or overnight for best results.

Grill or pan-cook chicken pieces until tender.

Heat oil in a large pan. Add onions and sautÃ© until lightly browned. Add ginger and sautÃ© until fragrant.

Add turmeric, ground coriander, paprika, and chili powderâsautÃ© for a minute.

Add tomato puree and chopped tomatoes. SautÃ© until the tomatoes are soft and the sauce thickens.

Add lemon juice and cream. Add water if needed for desired sauce consistency. Cook for 3-4 minutes.

Season with salt, garam masala, and coriander leaves. Stir in the grilled chicken. Cook everything together until chicken is soft.

Garnish with coriander leaves and serve hot with naan or rice.â

",22,59,15
Fish Fry,310,Non-Vegetarian,Dinner,2 pieces,/static/images/fried-fish.jpg,30 min,"Fish fillets (200g), Turmeric, Red chili powder, Lemon juice, Rice flour, Oil for frying","1. Marinate fish with turmeric, chili powder, lemon juice. 2. Coat with rice flour. 3. Shallow fry till golden. Serve hot.",26,8,16
Mutton Rogan Josh,520,Non-Vegetarian,Dinner,1 bowl with 2 roti,/static/images/mutton rogan joshjpg.jpg,60 min,"Mutton (250g), Yogurt, Onion, Kashmiri chili, Ginger-garlic paste, Whole spices, Oil","Wash and drain mutton pieces well. Marinate with lemon juice, salt, ginger powder, fennel powder, cardamom powder, black pepper, and curd for 2â4 hours.

In a heavy pan, heat mustard oil/ghee. Add bay leaves, cinnamon, green and black cardamoms, cloves, and sautÃ© for 30 seconds.

Add asafoetida, then add marinated mutton. Fry on high heat for about 4 minutes.

Add Kashmiri red chili powder. Stir quickly and add a splash of water to prevent burning.

Mix the remaining yogurt with some water and pour into the pan, stir well.

Add more water as needed, cover and simmer on low heat until mutton is cooked and tender (about 45â75 minutes on stove or 20 minutes in pressure cooker).

For extra flavor and color, infuse ratan jot in hot ghee for a minute, then strain and pour the ghee over the curry.

Taste for salt and adjust. Serve hot with steamed rice or naan.",28,12,32
Chicken Biryani,480,Non-Vegetarian,Lunch,1 plate,/static/images/chicken biryani.jpg,55 min,"Chicken (200g), Basmati rice (100g), Yogurt, Biryani masala, Fried onions, Mint, Saffron","Marinate 500g chicken with 1 cup yogurt, 1 tbsp ginger-garlic paste, 1 tsp turmeric, 1 tsp red chili powder, 1 tbsp garam masala, and salt. Keep for 1 hour.

Parboil 2 cups basmati rice till 70% cooked.

In heavy pan, sauté onions in oil till golden brown; add marinated chicken and cook till tender.

Layer cooked rice over chicken, add saffron soaked in warm milk and 2 tbsp ghee.

Cover tightly and cook on low heat (dum) for 25-30 minutes.

Garnish with fried onions and chopped coriander. Serve hot with raita.",24,62,18
Prawn Curry,290,Non-Vegetarian,Dinner,1 bowl with rice,/static/images/prawns curry.jpg,35 min,"Prawns (200g), Coconut milk, Onion, Tomato, Curry leaves, Tamarind, Spices","1. Clean prawns. 2. Prepare curry with coconut milk, onion, tomato, spices. 3. Add prawns, cook till done. Serve with rice.",22,14,12
Tandoori Chicken,400,Non-Vegetarian,Dinner,4 pieces,/static/images/tandoori chicken.jpg,50 min,"Chicken (250g), Yogurt, Tandoori masala, Kashmiri chili, Lemon juice, Ginger-garlic paste","1. Marinate chicken with yogurt, tandoori masala, spices for 2 hours. 2. Grill or bake till charred and cooked. Serve hot.",30,8,18
Egg Curry,260,Non-Vegetarian,Lunch,2 eggs with gravy,/static/images/egg curry.jpg,30 min,"Eggs (2), Onion, Tomato, Ginger-garlic paste, Garam masala, Turmeric, Oil","1. Boil and peel eggs. 2. Prepare curry gravy with onion, tomato, spices. 3. Add eggs, simmer. Serve with rice or roti.",14,12,16
Chicken Kebab,320,Non-Vegetarian,Lunch,5 pieces,/static/images/chicken kebab.jpg,40 min,"Chicken mince (200g), Onion, Green chili, Coriander leaves, Ginger-garlic paste, Spices, Bread crumbs",,24,10,18
Chicken Korma,280,Non-Vegetarian,Lunch,1 serving,/static/images/chicken korma.jpg,25 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Sauté 1 large chopped onion and 1 tbsp ginger-garlic paste in 2 tbsp ghee till golden.

Add 1/4 cup cashew paste, 1 tsp garam masala, turmeric, and salt.

Add 500g chicken pieces and 1/2 cup yogurt, cook covered till tender.

Stir in 1/4 cup cream and cook 5 more minutes.

Garnish with fried onions and chopped nuts before serving.",18,12,12
Butter Chicken,284,Non-Vegetarian,Lunch,1 serving,/static/images/butter chicken.jpg,26 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate 500g boneless chicken pieces with 1/2 cup yogurt, 1 tsp turmeric powder, 1 tsp red chili powder, 1 tsp garam masala, and salt to taste. Refrigerate for at least 30 minutes.

Heat 2 tbsp oil and 2 tbsp butter in a pan on medium heat.

Add 1 large finely chopped onion and sauté until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes until fragrant.

Pour in 1 cup tomato puree, then add 1 tsp coriander powder, 1 tsp garam masala, 1/2 tsp red chili powder, and salt to taste. Cook the mixture until the oil begins to separate from the masala.

Add the marinated chicken pieces, stir well, cover, and cook on low heat for 20-25 minutes or until the chicken is tender and cooked through.

Stir in 1/4 cup fresh cream and 1 tbsp butter, simmer for another 5 minutes.

Garnish with chopped fresh coriander leaves and serve hot with naan or steamed rice.",19,13,13
Fish Curry,288,Non-Vegetarian,Dinner,1 serving,/static/images/fish cury.jpg,27 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate fish pieces with turmeric, salt, and lemon juice.

Heat oil; add mustard seeds, curry leaves, chopped onions and garlic; sauté.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt; cook till oil separates.

Add fish pieces and simmer till cooked.

Garnish with coriander leaves.",20,14,14
Mutton Curry,292,Non-Vegetarian,Lunch,1 serving,/static/images/mutton curyy.jpg,28 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Heat oil; sauté 1 chopped onion till golden.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add 500g mutton pieces, turmeric, chili powder, coriander powder, and salt.

Cover and cook on low heat till mutton is tender (45-60 mins).

Garnish with fresh coriander before serving.",21,15,15
Egg Masala,296,Non-Vegetarian,Breakfast,1 serving,/static/images/egg masala.jpg,29 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","1. Boil and peel eggs. 2. Prepare curry gravy with onion, tomato, spices. 3. Add eggs, simmer. Serve with rice or roti.",22,16,16
Keema,300,Non-Vegetarian,Lunch,1 serving,/static/images/keema.jpg,30 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Heat 2 tbsp oil; sauté 1 finely chopped onion till golden.

Add 2 tsp ginger-garlic paste; cook 2 minutes.

Add 500g minced meat, salt, 1 tsp turmeric, 1 tsp red chili powder, and 1 tsp garam masala.

Cook till meat is browned and cooked through, stirring occasionally.",23,17,17
Chicken 65,304,Non-Vegetarian,Dinner,1 serving,/static/images/chicken 65.jpg,31 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate 500g boneless chicken pieces with 1 tbsp ginger-garlic paste, 1 tsp red chili powder, 1/2 tsp turmeric, 1 tsp garam masala, 1 tbsp lemon juice, salt to taste, and 2 tbsp yogurt.

Keep marinated chicken for at least 30 minutes.

Heat oil in deep pan; deep fry marinated chicken pieces till crispy and golden brown.

Remove and toss with fried curry leaves, green chilies, and chaat masala.

Serve hot as appetizer or snack.",24,18,18
Fish Tikka,308,Non-Vegetarian,Lunch,1 serving,/static/images/fish tikka.jpg,32 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate fish cubes with yogurt, ginger-garlic paste, turmeric, chili, and salt.

Thread on skewers.

Grill till cooked and charred.

Serve with mint chutney.",25,19,19
Prawns Fry,312,Non-Vegetarian,Breakfast,1 serving,/static/images/prawns fry.jpg,33 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Clean and devein 250g prawns; marinate with 1/2 tsp turmeric, red chili powder, salt, and lemon juice. Rest for 15 minutes.

Heat 2 tbsp oil in a pan; add 1/2 tsp mustard seeds, 1/2 tsp cumin seeds, and chopped curry leaves.

When seeds crackle, add 1 sliced onion and sauté till golden.

Add 1 tsp ginger-garlic paste; cook for 2 minutes.

Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt; cook for 2 mins.

Add prawns; cook on high heat for 4-5 minutes till prawns turn pink and crispy.

Garnish with chopped coriander and serve hot.",26,20,20
Chicken Soup,316,Non-Vegetarian,Lunch,1 serving,/static/images/chicken soup.jpg,34 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Boil 500g chicken pieces in 6 cups water with salt, pepper, 2 cloves garlic, 1 inch ginger, and 1 bay leaf.

Remove chicken when cooked; shred meat.

Add chopped carrots, celery, and onions; simmer till vegetables tender.

Return shredded chicken to pot, adjust seasoning.

Serve hot, garnished with fresh parsley.",27,21,21
Chicken Korma,320,Non-Vegetarian,Dinner,1 serving,/static/images/chicken korma.jpg,35 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Sauté 1 large chopped onion and 1 tbsp ginger-garlic paste in 2 tbsp ghee till golden.

Add 1/4 cup cashew paste, 1 tsp garam masala, turmeric, and salt.

Add 500g chicken pieces and 1/2 cup yogurt, cook covered till tender.

Stir in 1/4 cup cream and cook 5 more minutes.

Garnish with fried onions and chopped nuts before serving.",28,22,22
Butter Chicken,324,Non-Vegetarian,Lunch,1 serving,/static/images/butter chicken.jpg,36 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate 500g boneless chicken pieces with 1/2 cup yogurt, 1 tsp turmeric powder, 1 tsp red chili powder, 1 tsp garam masala, and salt to taste. Refrigerate for at least 30 minutes.

Heat 2 tbsp oil and 2 tbsp butter in a pan on medium heat.

Add 1 large finely chopped onion and sauté until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes until fragrant.

Pour in 1 cup tomato puree, then add 1 tsp coriander powder, 1 tsp garam masala, 1/2 tsp red chili powder, and salt to taste. Cook the mixture until the oil begins to separate from the masala.

Add the marinated chicken pieces, stir well, cover, and cook on low heat for 20-25 minutes or until the chicken is tender and cooked through.

Stir in 1/4 cup fresh cream and 1 tbsp butter, simmer for another 5 minutes.

Garnish with chopped fresh coriander leaves and serve hot with naan or steamed rice.",29,23,23
Fish Curry,328,Non-Vegetarian,Lunch,1 serving,/static/images/fish cury.jpg,37 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate fish pieces with turmeric, salt, and lemon juice.

Heat oil; add mustard seeds, curry leaves, chopped onions and garlic; sauté.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt; cook till oil separates.

Add fish pieces and simmer till cooked.

Garnish with coriander leaves.",30,24,24
Mutton Curry,332,Non-Vegetarian,Lunch,1 serving,/static/images/mutton curyy.jpg,38 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Heat oil; sauté 1 chopped onion till golden.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add 500g mutton pieces, turmeric, chili powder, coriander powder, and salt.

Cover and cook on low heat till mutton is tender (45-60 mins).

Garnish with fresh coriander before serving.",31,25,25
Egg Masala,336,Non-Vegetarian,Dinner,1 serving,/static/images/egg masala.jpg,39 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","1. Boil and peel eggs. 2. Prepare curry gravy with onion, tomato, spices. 3. Add eggs, simmer. Serve with rice or roti.",32,26,26
Keema,340,Non-Vegetarian,Snacks,1 serving,/static/images/keema.jpg,40 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Heat 2 tbsp oil; sauté 1 finely chopped onion till golden.

Add 2 tsp ginger-garlic paste; cook 2 minutes.

Add 500g minced meat, salt, 1 tsp turmeric, 1 tsp red chili powder, and 1 tsp garam masala.

Cook till meat is browned and cooked through, stirring occasionally.",18,27,27
Chicken,344,Non-Vegetarian,Lunch,1 serving,/static/images/chicken 65.jpg,41 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate 500g boneless chicken pieces with 1 tbsp ginger-garlic paste, 1 tsp red chili powder, 1/2 tsp turmeric, 1 tsp garam masala, 1 tbsp lemon juice, salt to taste, and 2 tbsp yogurt.

Keep marinated chicken for at least 30 minutes.

Heat oil in deep pan; deep fry marinated chicken pieces till crispy and golden brown.

Remove and toss with fried curry leaves, green chilies, and chaat masala.

Serve hot as appetizer or snack.",19,28,28
Fish Tikka,348,Non-Vegetarian,Lunch,1 serving,/static/images/fish tikka.jpg,42 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate fish cubes with yogurt, ginger-garlic paste, turmeric, chili, and salt.

Thread on skewers.

Grill till cooked and charred.

Serve with mint chutney.",20,29,29
Prawns Fry,352,Non-Vegetarian,Dinner,1 serving,/static/images/prawns fry.jpg,43 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Clean and devein 250g prawns; marinate with 1/2 tsp turmeric, red chili powder, salt, and lemon juice. Rest for 15 minutes.

Heat 2 tbsp oil in a pan; add 1/2 tsp mustard seeds, 1/2 tsp cumin seeds, and chopped curry leaves.

When seeds crackle, add 1 sliced onion and sauté till golden.

Add 1 tsp ginger-garlic paste; cook for 2 minutes.

Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt; cook for 2 mins.

Add prawns; cook on high heat for 4-5 minutes till prawns turn pink and crispy.

Garnish with chopped coriander and serve hot.",21,30,30
Chicken Soup,356,Non-Vegetarian,Lunch,1 serving,/static/images/chicken soup.jpg,44 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Boil 500g chicken pieces in 6 cups water with salt, pepper, 2 cloves garlic, 1 inch ginger, and 1 bay leaf.

Remove chicken when cooked; shred meat.

Add chopped carrots, celery, and onions; simmer till vegetables tender.

Return shredded chicken to pot, adjust seasoning.

Serve hot, garnished with fresh parsley.",22,31,31
Chicken Korma,360,Non-Vegetarian,Lunch,1 serving,/static/images/chicken korma.jpg,45 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Sauté 1 large chopped onion and 1 tbsp ginger-garlic paste in 2 tbsp ghee till golden.

Add 1/4 cup cashew paste, 1 tsp garam masala, turmeric, and salt.

Add 500g chicken pieces and 1/2 cup yogurt, cook covered till tender.

Stir in 1/4 cup cream and cook 5 more minutes.

Garnish with fried onions and chopped nuts before serving.",23,32,12
Butter Chicken,364,Non-Vegetarian,Lunch,1 serving,/static/images/butter chicken.jpg,46 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate 500g boneless chicken pieces with 1/2 cup yogurt, 1 tsp turmeric powder, 1 tsp red chili powder, 1 tsp garam masala, and salt to taste. Refrigerate for at least 30 minutes.

Heat 2 tbsp oil and 2 tbsp butter in a pan on medium heat.

Add 1 large finely chopped onion and sauté until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes until fragrant.

Pour in 1 cup tomato puree, then add 1 tsp coriander powder, 1 tsp garam masala, 1/2 tsp red chili powder, and salt to taste. Cook the mixture until the oil begins to separate from the masala.

Add the marinated chicken pieces, stir well, cover, and cook on low heat for 20-25 minutes or until the chicken is tender and cooked through.

Stir in 1/4 cup fresh cream and 1 tbsp butter, simmer for another 5 minutes.

Garnish with chopped fresh coriander leaves and serve hot with naan or steamed rice.",24,33,13
Fish Curry,368,Non-Vegetarian,Dinner,1 serving,/static/images/fish cury.jpg,47 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate fish pieces with turmeric, salt, and lemon juice.

Heat oil; add mustard seeds, curry leaves, chopped onions and garlic; sauté.

Add chopped tomatoes, turmeric, coriander powder, chili powder, and salt; cook till oil separates.

Add fish pieces and simmer till cooked.

Garnish with coriander leaves.",25,34,14
Mutton Curry,372,Non-Vegetarian,Lunch,1 serving,/static/images/mutton curyy.jpg,48 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Heat oil; sauté 1 chopped onion till golden.

Add 1 tbsp ginger-garlic paste; cook 2 mins.

Add 500g mutton pieces, turmeric, chili powder, coriander powder, and salt.

Cover and cook on low heat till mutton is tender (45-60 mins).

Garnish with fresh coriander before serving.",26,35,15
Egg Masala,376,Non-Vegetarian,Breakfast,1 serving,/static/images/egg masala.jpg,49 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","1. Boil and peel eggs. 2. Prepare curry gravy with onion, tomato, spices. 3. Add eggs, simmer. Serve with rice or roti.",27,36,16
Keema,380,Non-Vegetarian,Lunch,1 serving,/static/images/keema.jpg,50 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Heat 2 tbsp oil; sauté 1 finely chopped onion till golden.

Add 2 tsp ginger-garlic paste; cook 2 minutes.

Add 500g minced meat, salt, 1 tsp turmeric, 1 tsp red chili powder, and 1 tsp garam masala.

Cook till meat is browned and cooked through, stirring occasionally.",28,37,17
Chicken 65,384,Non-Vegetarian,Dinner,1 serving,/static/images/chicken 65.jpg,51 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate 500g boneless chicken pieces with 1 tbsp ginger-garlic paste, 1 tsp red chili powder, 1/2 tsp turmeric, 1 tsp garam masala, 1 tbsp lemon juice, salt to taste, and 2 tbsp yogurt.

Keep marinated chicken for at least 30 minutes.

Heat oil in deep pan; deep fry marinated chicken pieces till crispy and golden brown.

Remove and toss with fried curry leaves, green chilies, and chaat masala.

Serve hot as appetizer or snack.",29,38,18
Fish Tikka,388,Non-Vegetarian,Lunch,1 serving,/static/images/fish tikka.jpg,52 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate fish cubes with yogurt, ginger-garlic paste, turmeric, chili, and salt.

Thread on skewers.

Grill till cooked and charred.

Serve with mint chutney.",30,39,19
Prawns Fry,392,Non-Vegetarian,Breakfast,1 serving,/static/images/prawns fry.jpg,53 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Clean and devein 250g prawns; marinate with 1/2 tsp turmeric, red chili powder, salt, and lemon juice. Rest for 15 minutes.

Heat 2 tbsp oil in a pan; add 1/2 tsp mustard seeds, 1/2 tsp cumin seeds, and chopped curry leaves.

When seeds crackle, add 1 sliced onion and sauté till golden.

Add 1 tsp ginger-garlic paste; cook for 2 minutes.

Add 1/2 tsp turmeric, 1 tsp red chili powder, and salt; cook for 2 mins.

Add prawns; cook on high heat for 4-5 minutes till prawns turn pink and crispy.

Garnish with chopped coriander and serve hot.",31,40,20
Chicken Soup,396,Non-Vegetarian,Lunch,1 serving,/static/images/chicken soup.jpg,54 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Boil 500g chicken pieces in 6 cups water with salt, pepper, 2 cloves garlic, 1 inch ginger, and 1 bay leaf.

Remove chicken when cooked; shred meat.

Add chopped carrots, celery, and onions; simmer till vegetables tender.

Return shredded chicken to pot, adjust seasoning.

Serve hot, garnished with fresh parsley.",32,41,21
Chicken Korma,400,Non-Vegetarian,Dinner,1 serving,/static/images/chicken korma.jpg,55 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Sauté 1 large chopped onion and 1 tbsp ginger-garlic paste in 2 tbsp ghee till golden.

Add 1/4 cup cashew paste, 1 tsp garam masala, turmeric, and salt.

Add 500g chicken pieces and 1/2 cup yogurt, cook covered till tender.

Stir in 1/4 cup cream and cook 5 more minutes.

Garnish with fried onions and chopped nuts before serving.",18,12,22
Butter Chicken,404,Non-Vegetarian,Lunch,1 serving,/static/images/butter chicken.jpg,56 min,"Chicken/Fish/Egg/Mutton, spices, onion, tomato as needed","Marinate 500g boneless chicken pieces with 1/2 cup yogurt, 1 tsp turmeric powder, 1 tsp red chili powder, 1 tsp garam masala, and salt to taste. Refrigerate for at least 30 minutes.

Heat 2 tbsp oil and 2 tbsp butter in a pan on medium heat.

Add 1 large finely chopped onion and sauté until golden brown.

Add 1 tbsp ginger-garlic paste and cook for 2 minutes until fragrant.

Pour in 1 cup tomato puree, then add 1 tsp coriander powder, 1 tsp garam masala, 1/2 tsp red chili powder, and salt to taste. Cook the mixture until the oil begins to separate from the masala.

Add the marinated chicken pieces, stir well, cover, and cook on low heat for 20-25 minutes or until the chicken is tender and cooked through.

Stir in 1/4 cup fresh cream and 1 tbsp butter, simmer for another 5 minutes.

Garnish with chopped fresh coriander leaves and serve hot with naan or steamed rice.",19,13,23
